formula_sp,MagpieData minimum Column,MagpieData range NdValence,MagpieData mean NsValence,MagpieData minimum NfValence,MagpieData mean SpaceGroupNumber,MagpieData mode GSbandgap,MagpieData maximum Column,MagpieData avg_dev NdValence,MagpieData maximum SpaceGroupNumber,MagpieData avg_dev AtomicWeight,MagpieData range Column,MagpieData mean NpValence,MagpieData range NValence,MagpieData mean AtomicWeight,MagpieData mean CovalentRadius,MagpieData maximum MeltingT,MagpieData minimum NdUnfilled,MagpieData mode MeltingT,MagpieData minimum NfUnfilled,MagpieData range Row,MagpieData maximum NdUnfilled,MagpieData minimum AtomicWeight,MagpieData minimum Row,MagpieData maximum CovalentRadius,MagpieData mode NpValence,MagpieData avg_dev NpValence,MagpieData maximum NpValence,MagpieData range MendeleevNumber,MagpieData range NUnfilled,MagpieData avg_dev GSbandgap,MagpieData minimum GSvolume_pa,MagpieData mode Row,MagpieData mean Electronegativity,MagpieData avg_dev NUnfilled,MagpieData avg_dev CovalentRadius,MagpieData minimum SpaceGroupNumber,MagpieData mean NUnfilled,MagpieData avg_dev Row,MagpieData minimum Electronegativity,MagpieData mode Electronegativity,MagpieData mean Column,MagpieData minimum Number,MagpieData mode NsUnfilled,MagpieData mode MendeleevNumber,MagpieData minimum NpValence,MagpieData range Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mean GSmagmom,MagpieData mode SpaceGroupNumber,MagpieData mean NfValence,MagpieData avg_dev MeltingT,MagpieData maximum Row,MagpieData mean NdValence,MagpieData mode NpUnfilled,MagpieData mean GSvolume_pa,MagpieData maximum GSmagmom,MagpieData minimum NValence,MagpieData avg_dev NdUnfilled,MagpieData range AtomicWeight,MagpieData mode NfValence,MagpieData avg_dev NValence,MagpieData avg_dev NfUnfilled,MagpieData avg_dev GSvolume_pa,MagpieData mode NUnfilled,MagpieData mode NsValence,MagpieData maximum NdValence,MagpieData range NdUnfilled,MagpieData avg_dev SpaceGroupNumber,MagpieData mode NdUnfilled,MagpieData maximum NfValence,MagpieData range CovalentRadius,MagpieData mean MendeleevNumber,MagpieData mode AtomicWeight,MagpieData range NpValence,MagpieData range NsValence,MagpieData mode NdValence,MagpieData avg_dev NsValence,MagpieData range NfValence,MagpieData maximum Number,MagpieData range Number,MagpieData maximum GSbandgap,MagpieData avg_dev MendeleevNumber,MagpieData avg_dev Column,MagpieData mean Number,MagpieData range NsUnfilled,MagpieData minimum GSmagmom,MagpieData range NfUnfilled,MagpieData range GSmagmom,MagpieData maximum NValence,MagpieData avg_dev NpUnfilled,MagpieData maximum GSvolume_pa,MagpieData minimum NsValence,MagpieData minimum GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev NsUnfilled,MagpieData maximum NfUnfilled,MagpieData avg_dev Number,MagpieData mean NfUnfilled,MagpieData avg_dev NfValence,MagpieData mode Number,MagpieData mode NfUnfilled,MagpieData maximum NpUnfilled,MagpieData mode Column,MagpieData mode GSvolume_pa,MagpieData maximum AtomicWeight,MagpieData mean NpUnfilled,MagpieData mean NsUnfilled,MagpieData mean NValence,MagpieData range GSvolume_pa,MagpieData range SpaceGroupNumber,MagpieData maximum MendeleevNumber,MagpieData maximum NsValence,MagpieData minimum NUnfilled,MagpieData maximum NsUnfilled,MagpieData range MeltingT,MagpieData maximum NUnfilled,MagpieData maximum Electronegativity,MagpieData minimum NpUnfilled,MagpieData minimum MendeleevNumber,MagpieData range GSbandgap,MagpieData mode CovalentRadius,MagpieData minimum CovalentRadius,MagpieData mean Row,MagpieData range NpUnfilled,MagpieData mean NdUnfilled,MagpieData minimum NdValence,MagpieData avg_dev GSmagmom,MagpieData minimum MeltingT,MagpieData mean MeltingT,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData mode GSmagmom
Ac_194,3.0,0.0,2.0,0.0,225.0,0.0,3.0,0.0,225.0,0.0,0.0,0.0,0.0,227.0,215.0,1323.0,9.0,1323.0,0.0,0.0,9.0,227.0,7.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5125,7.0,1.1,0.0,0.0,225.0,9.0,0.0,1.1,1.1,3.0,89.0,0.0,14.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,7.0,1.0,0.0,44.5125,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,1.0,0.0,0.0,9.0,0.0,0.0,14.0,227.0,0.0,0.0,1.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,3.0,0.0,44.5125,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,3.0,44.5125,227.0,0.0,0.0,3.0,0.0,0.0,14.0,2.0,9.0,0.0,0.0,9.0,1.1,0.0,14.0,0.0,215.0,215.0,7.0,0.0,9.0,1.0,0.0,1323.0,1323.0,3.0,0.0,0.0
Ac2CuGe_225,3.0,9.0,1.75,0.0,225.0,0.0,14.0,4.5,225.0,79.4535,11.0,0.5,11.0,147.5465,170.5,1357.77,0.0,1323.0,0.0,3.0,9.0,63.546,4.0,215.0,0.0,0.75,2.0,65.0,8.0,0.143625,11.07,7.0,1.5274999999999999,3.25,44.5,225.0,5.75,1.5,1.1,1.1,7.75,29.0,0.0,14.0,0.0,0.9099999999999997,0.4274999999999999,0.0,225.0,0.0,46.196249999999964,7.0,5.5,0.0,30.775,0.0,3.0,4.5,163.454,0.0,4.75,0.0,13.7375,9.0,2.0,10.0,9.0,0.0,9.0,0.0,95.0,42.75,227.0,2.0,1.0,1.0,0.375,0.0,89.0,60.0,0.383,28.75,4.75,59.75,1.0,0.0,0.0,0.0,14.0,1.5,44.5125,1.0,0.0,0.09575,0.375,0.0,29.25,0.0,0.0,89.0,0.0,4.0,3.0,44.5125,227.0,1.0,0.25,7.75,33.4425,0.0,79.0,2.0,1.0,1.0,146.3699999999999,9.0,2.01,0.0,14.0,0.383,215.0,120.0,5.5,4.0,4.5,1.0,0.0,1211.4,1303.7925,3.0,0.0,0.0
Ac2CuIr_225,3.0,9.0,1.75,0.0,225.0,0.0,11.0,3.75,225.0,56.947375,8.0,0.0,20.0,177.44075,175.75,2739.0,0.0,1323.0,0.0,3.0,9.0,63.546,4.0,215.0,0.0,0.0,0.0,50.0,8.0,0.0,11.07,7.0,1.575,3.5,39.25,225.0,5.5,1.0,1.1,1.1,6.5,29.0,0.0,14.0,0.0,1.1,0.475,0.0,225.0,3.5,526.6537500000001,7.0,4.75,0.0,28.57625,0.0,3.0,3.75,163.454,0.0,7.0,0.0,15.936250000000001,9.0,2.0,10.0,9.0,0.0,9.0,14.0,83.0,38.0,227.0,0.0,1.0,1.0,0.375,14.0,89.0,60.0,0.0,24.0,3.5,71.0,1.0,0.0,0.0,0.0,23.0,0.0,44.5125,1.0,0.0,0.0,0.375,0.0,21.0,0.0,5.25,89.0,0.0,0.0,3.0,44.5125,227.0,0.0,0.25,10.0,33.4425,0.0,64.0,2.0,1.0,1.0,1416.0,9.0,2.2,0.0,14.0,0.0,215.0,132.0,6.0,0.0,5.25,1.0,0.0,1323.0,1685.6925,3.0,0.0,0.0
Ac2GePd_225,3.0,9.0,1.5,0.0,225.0,0.0,14.0,4.5,225.0,68.735,11.0,0.5,11.0,158.265,172.25,1828.05,0.0,1323.0,0.0,3.0,9.0,72.64,4.0,215.0,0.0,0.75,2.0,65.0,9.0,0.143625,14.41,7.0,1.6025,3.5,42.75,225.0,5.5,1.25,1.1,1.1,7.5,32.0,0.0,14.0,0.0,1.1,0.5025,0.0,225.0,0.0,203.34374999999994,7.0,5.5,0.0,31.61,0.0,3.0,4.5,154.36,0.0,4.5,0.0,12.902500000000003,9.0,2.0,10.0,9.0,0.0,9.0,0.0,95.0,42.25,227.0,2.0,2.0,1.0,0.75,0.0,89.0,57.0,0.383,28.25,4.5,64.0,0.0,0.0,0.0,0.0,14.0,1.5,44.5125,0.0,0.0,0.09575,0.0,0.0,25.0,0.0,0.0,89.0,0.0,4.0,3.0,44.5125,227.0,1.0,0.0,7.5,30.102500000000003,0.0,79.0,2.0,0.0,0.0,616.6499999999999,9.0,2.2,0.0,14.0,0.383,215.0,120.0,5.75,4.0,4.5,1.0,0.0,1211.4,1421.3625,3.0,0.0,0.0
Ac2HgGe_225,3.0,9.0,2.0,0.0,210.25,0.0,14.0,4.5,225.0,54.583749999999995,11.0,0.5,23.0,181.8075,170.5,1323.0,0.0,1323.0,0.0,3.0,9.0,72.64,4.0,215.0,0.0,0.75,2.0,65.0,9.0,0.143625,23.005,7.0,1.5525,3.5,44.5,166.0,5.5,1.0,1.1,1.1,8.0,32.0,0.0,14.0,0.0,0.9099999999999997,0.4524999999999999,0.0,225.0,3.5,394.305,7.0,5.5,0.0,34.316896551725,0.0,3.0,4.5,154.36,0.0,8.5,0.0,10.195603448275001,9.0,2.0,10.0,9.0,22.125,9.0,14.0,95.0,44.5,227.0,2.0,0.0,1.0,0.0,14.0,89.0,57.0,0.383,30.5,5.0,72.5,0.0,0.0,0.0,0.0,26.0,1.5,44.5125,2.0,0.0,0.09575,0.0,0.0,20.25,0.0,5.25,89.0,0.0,4.0,3.0,44.5125,227.0,1.0,0.0,11.5,21.507500000000004,59.0,79.0,2.0,0.0,0.0,1088.68,9.0,2.01,0.0,14.0,0.383,215.0,120.0,6.0,4.0,4.5,1.0,0.0,234.32,1022.9300000000001,3.0,0.0,0.0
Ac2IrAu_225,3.0,9.0,1.75,0.0,225.0,0.0,11.0,3.75,225.0,16.20410775,8.0,0.0,22.0,210.79589225,176.75,2739.0,0.0,1323.0,0.0,1.0,9.0,192.217,6.0,215.0,0.0,0.0,0.0,52.0,8.0,0.0,14.21,7.0,1.735,3.5,38.25,225.0,5.5,0.5,1.1,1.1,6.5,77.0,0.0,14.0,0.0,1.44,0.635,0.0,225.0,7.0,529.20875,7.0,4.75,0.0,29.983750000000004,0.0,3.0,3.75,34.78299999999999,0.0,10.5,0.0,14.52875,9.0,2.0,10.0,9.0,0.0,9.0,14.0,79.0,38.5,227.0,0.0,1.0,1.0,0.375,14.0,89.0,12.0,0.0,24.5,3.5,83.5,1.0,0.0,0.0,0.0,25.0,0.0,44.5125,1.0,0.0,0.0,0.375,0.0,5.5,0.0,7.0,89.0,0.0,0.0,3.0,44.5125,227.0,0.0,0.25,13.5,30.302500000000002,0.0,66.0,2.0,1.0,1.0,1416.0,9.0,2.54,0.0,14.0,0.0,215.0,136.0,6.5,0.0,5.25,1.0,0.0,1323.0,1680.5825,3.0,0.0,0.0
Ac2IrPd_225,3.0,9.0,1.5,0.0,225.0,0.0,10.0,3.75,225.0,40.86962500000001,7.0,0.0,20.0,188.15925,177.5,2739.0,0.0,1323.0,0.0,2.0,9.0,106.42,5.0,215.0,0.0,0.0,0.0,48.0,9.0,0.0,14.21,7.0,1.6500000000000001,3.75,37.5,225.0,5.25,0.75,1.1,1.1,6.25,46.0,0.0,14.0,0.0,1.1,0.55,0.0,225.0,3.5,480.2625,7.0,4.75,0.0,29.411250000000003,0.0,3.0,3.75,120.58,0.0,6.75,0.0,15.10125,9.0,2.0,10.0,9.0,0.0,9.0,14.0,76.0,37.5,227.0,0.0,2.0,1.0,0.75,14.0,89.0,43.0,0.0,23.5,3.25,75.25,0.0,0.0,0.0,0.0,23.0,0.0,44.5125,0.0,0.0,0.0,0.0,0.0,14.625,0.0,5.25,89.0,0.0,0.0,3.0,44.5125,227.0,0.0,0.0,9.75,30.302500000000002,0.0,62.0,2.0,0.0,0.0,1416.0,9.0,2.2,0.0,14.0,0.0,215.0,139.0,6.25,0.0,5.25,1.0,0.0,1323.0,1803.2625,3.0,0.0,0.0
Ac2MgSn_225,2.0,10.0,2.0,0.0,196.25,0.0,14.0,3.5,225.0,77.74624999999999,12.0,0.5,12.0,149.25375,177.5,1323.0,0.0,1323.0,0.0,4.0,9.0,24.305,3.0,215.0,0.0,0.75,2.0,66.0,9.0,0.0,22.89,7.0,1.3675000000000002,3.5,37.5,141.0,5.5,1.5,1.1,1.1,5.5,12.0,0.0,14.0,0.0,0.8599999999999999,0.29625,0.0,225.0,0.0,304.48,7.0,3.0,0.0,36.3,0.0,2.0,4.5,202.695,0.0,4.25,0.0,8.212500000000002,9.0,2.0,10.0,9.0,28.75,9.0,0.0,76.0,44.0,227.0,2.0,0.0,1.0,0.0,0.0,89.0,77.0,0.0,30.0,4.25,60.0,0.0,0.0,0.0,0.0,14.0,1.5,44.5125,2.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,89.0,0.0,4.0,3.0,44.5125,227.0,1.0,0.0,5.5,21.622500000000002,84.0,80.0,2.0,0.0,0.0,817.9200000000001,9.0,1.96,0.0,14.0,0.0,215.0,139.0,5.5,4.0,4.5,0.0,0.0,505.08,1018.52,3.0,0.0,0.0
Ac2NiIr_225,3.0,7.0,2.0,0.0,225.0,0.0,10.0,3.25,225.0,58.767100000000006,7.0,0.0,20.0,176.2276,173.75,2739.0,2.0,1323.0,0.0,3.0,9.0,58.6934,4.0,215.0,0.0,0.0,0.0,47.0,7.0,0.0,10.32,7.0,1.5775000000000001,3.25,41.25,225.0,5.75,1.0,1.1,1.1,6.25,28.0,0.0,14.0,0.0,1.1,0.4775,0.148848675,225.0,3.5,480.375,7.0,4.25,0.0,28.38875,0.5953947,3.0,3.25,168.3066,0.0,6.75,0.0,16.12375,9.0,2.0,8.0,7.0,0.0,9.0,14.0,91.0,37.25,227.0,0.0,0.0,1.0,0.0,14.0,89.0,61.0,0.0,23.25,3.25,70.75,0.0,0.0,0.0,0.5953947,23.0,0.0,44.5125,2.0,0.0,0.0,0.0,0.0,21.375,0.0,5.25,89.0,0.0,0.0,3.0,44.5125,227.0,0.0,0.0,9.75,34.1925,0.0,61.0,2.0,2.0,0.0,1416.0,9.0,2.2,0.0,14.0,0.0,215.0,124.0,6.0,0.0,5.75,1.0,0.22327301250000003,1323.0,1778.25,3.0,0.0,0.0
Ac2O3_164,3.0,1.0,2.0,0.0,97.2,0.0,16.0,0.4800000000000001,225.0,101.28028800000001,13.0,2.4,3.0,100.39964,125.6,1323.0,0.0,54.8,0.0,5.0,9.0,15.9994,2.0,215.0,4.0,1.9200000000000004,4.0,73.0,7.0,0.0,9.105,2.0,2.504,3.3599999999999994,71.52000000000001,12.0,4.8,2.4,1.1,3.44,10.8,8.0,0.0,87.0,0.0,2.34,1.1232,0.0,12.0,0.0,608.7360000000001,7.0,0.4,2.0,23.268,0.0,3.0,4.32,211.0006,0.0,1.44,0.0,16.995600000000003,2.0,2.0,1.0,9.0,102.24000000000001,0.0,0.0,149.0,57.8,15.9994,4.0,0.0,0.0,0.0,0.0,89.0,81.0,0.0,35.04,6.24,40.4,0.0,0.0,0.0,0.0,6.0,0.9600000000000002,44.5125,2.0,0.0,0.0,0.0,0.0,38.879999999999995,0.0,0.0,8.0,0.0,2.0,16.0,9.105,227.0,1.2,0.0,4.8,35.4075,213.0,87.0,2.0,2.0,0.0,1268.2,9.0,3.44,0.0,14.0,0.0,66.0,66.0,4.0,2.0,3.6,0.0,0.0,54.8,562.08,6.0,0.0,0.0
